City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Palauig,PH,84.9,broken clouds,15.435,119.9045,Alperi Botique Resort
329,Valle Hermoso,MX,75.34,overcast clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
341,Kochi,IN,75.18,light rain,9.9399,76.2602,Hotel Abad
349,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
355,Meulaboh,ID,77.38,light rain,4.1363,96.1285,Kost Pria
357,Tessalit,ML,81.1,clear sky,20.1986,1.0114,
360,Qui Nhon,VN,80.11,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
362,Matara,LK,77.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
363,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
371,Akyab,MM,78.04,overcast clouds,20.15,92.9,Hotel Memory
372,Tautira,PF,84.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
375,Daru,PG,86.45,broken clouds,-9.0763,143.2092,Daru Lodge
378,Pemangkat,ID,81.55,overcast clouds,1.1667,108.9667,Ramah Kost KITA
380,Port Macquarie,AU,77.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
382,Sindou,BF,77.76,scattered clouds,10.6667,-5.1667,LERABA HOTEL
383,Ipixuna,BR,78.75,few clouds,-1.7625,-48.8043,Casa da Oscarina
386,Koupela,BF,84.92,overcast clouds,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
387,Siavonga,ZM,80.56,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
390,Puerto Colombia,CO,81.12,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
392,Anloga,GH,79.75,light rain,5.7947,0.8973,Pin Drop Hotel
393,Eyl,SO,76.69,overcast clouds,7.9803,49.8164,Amiin Hotel
394,Rodrigues Alves,BR,79.0,moderate rain,-7.7379999999999995,-72.6509,Pousada Aconchego
404,Maumere,ID,84.85,broken clouds,-8.6199,122.2111,Sylvia Hotel
407,Kidal,ML,80.6,scattered clouds,18.4411,1.4078,
408,Bambanglipuro,ID,83.68,broken clouds,-7.95,110.2833,Puri Brata
413,Dingle,PH,83.89,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
419,Yamethin,MM,75.76,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
420,Basco,PH,80.83,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
424,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,ibis Balikpapan
425,High Rock,BS,80.62,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
430,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
432,Sorong,ID,83.52,few clouds,-0.8833,131.25,waigo splash hotel
433,Kishanpur,IN,77.97,overcast clouds,25.65,81.0167,store
439,Cabatuan,PH,83.46,few clouds,10.8794,122.486,MVC Transient Room
440,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
442,Punto Fijo,VE,84.34,few clouds,11.6956,-70.1996,Santa Fe Inn Hotel
445,Namatanai,PG,86.5,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
448,Gushikawa,JP,78.39,few clouds,26.3544,127.8686,Kirari Guest House
450,Carlagan,PH,81.16,heavy intensity rain,14.975,122.0456,Cabatagan Island
452,Iralaya,HN,80.06,overcast clouds,15.0,-83.2333,Iglesia morava renovada
455,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
457,Kupang,ID,88.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
463,Tambilil,PH,86.49,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
464,Caravelas,BR,75.42,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
465,Miandrivazo,MG,76.3,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
487,Augusto Correa,BR,77.25,clear sky,-1.0217,-46.635,Fazenda Bacuri
489,Makakilo City,US,78.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
493,Champerico,GT,84.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
498,Tamandare,BR,77.0,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
504,Merauke,ID,86.38,scattered clouds,-8.4667,140.3333,
506,Puerto Pailas,BO,77.92,broken clouds,-17.667,-62.7909,Mary luz
512,Kaputa,ZM,75.15,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
519,Port-Gentil,GA,77.67,overcast clouds,-0.7193,8.7815,Fengshui Residence
520,Port Blair,IN,81.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
523,Maragogi,BR,76.82,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
524,Kulhudhuffushi,MV,81.99,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
525,Salinopolis,BR,79.9,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
526,Labuhan,ID,85.91,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
530,Malappuram,IN,75.36,overcast clouds,11.0667,76.0667,Grace Residency
533,Eydhafushi,MV,81.32,moderate rain,5.1033,73.0708,Soneva Fushi
535,Aswan,EG,79.52,clear sky,24.0934,32.907,Nuba Nile
538,Tete,MZ,85.32,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
543,Sarangani,PH,84.07,overcast clouds,5.4033,125.4636,Ballistic Islet
547,Homestead,US,82.02,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
550,Lazaro Cardenas,MX,81.01,clear sky,17.9583,-102.2,quinta antigua
555,Epe,NG,76.33,light rain,6.5841,3.9834,MAGVILLE HOTEL
556,Nouadhibou,MR,75.49,clear sky,20.930999999999997,-17.0347,El Medina
562,Portobelo,PA,80.62,overcast clouds,9.55,-79.65,Scuba Portobelo
563,Acarau,BR,80.08,clear sky,-2.8856,-40.12,castelo pizzaria
564,Vanimo,PG,86.94,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
569,Soe,ID,84.56,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
570,Bosaso,SO,82.87,clear sky,11.2842,49.1816,Red Sea Hotel
