City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Kavieng,PG,-2.5744,150.7967,84.9,69,86,12.48,overcast clouds
247,Amuntai,ID,-2.4177,115.2494,81.99,78,100,2.21,moderate rain
248,Nago,JP,26.5881,127.9761,78.87,71,100,12.86,overcast clouds
249,Kutum,SD,14.2,24.6667,75.31,21,6,7.63,clear sky
250,Komsomolskiy,UZ,40.4272,71.7189,50.72,62,100,4.61,haze
251,Toyo,PH,10.7333,125.0167,83.03,84,42,4.99,scattered clouds
252,Tabuk,PH,17.4189,121.4443,79.25,78,38,1.59,scattered clouds
253,La Ronge,CA,55.1001,-105.2842,53.85,50,40,4.61,scattered clouds
254,Katete,UG,-0.7818,29.7544,59.83,96,100,2.68,light rain
255,Quang Ngai,VN,15.1167,108.8,79.23,88,100,0.74,overcast clouds
256,Ponta Do Sol,PT,32.6667,-17.1,73.71,63,55,2.1,broken clouds
257,Garissa,KE,-0.4536,39.6401,75.11,74,73,12.57,broken clouds
258,Hambantota,LK,6.1241,81.1185,79.14,89,20,8.05,few clouds
259,Waipawa,NZ,-41.4122,175.5153,59.63,61,0,17.36,clear sky
260,Carmo Do Rio Claro,BR,-20.9719,-46.1189,70.72,83,76,3.78,broken clouds
261,Brigantine,US,39.4101,-74.3646,58.01,73,1,5.75,clear sky
262,Bukachacha,RU,52.9833,116.9167,28.35,54,0,3.51,clear sky
263,Kyshtovka,RU,56.555,76.6271,38.16,90,76,6.08,broken clouds
264,Kulhudhuffushi,MV,6.6221,73.07,81.99,74,100,17.98,overcast clouds
265,Rocha,UY,-34.4833,-54.3333,48.81,74,100,5.95,overcast clouds
266,Lichtenburg,ZA,-26.152,26.1597,48.07,18,4,11.43,clear sky
267,Klaksvik,FO,62.2266,-6.589,47.32,77,100,26.31,overcast clouds
268,Bayevo,RU,53.2833,80.7667,35.4,86,53,5.73,broken clouds
269,Londonderry,GB,54.9981,-7.3093,51.93,97,100,3.65,overcast clouds
270,Leh,IN,34.1667,77.5833,40.96,81,100,4.74,overcast clouds
271,Chekalin,RU,54.0969,36.245,42.85,81,100,9.69,overcast clouds
272,Nivala,FI,63.9167,24.9667,36.68,97,100,9.84,overcast clouds
273,Kahului,US,20.8947,-156.47,85.26,67,40,23.02,scattered clouds
274,Pisco,PE,-13.7,-76.2167,62.02,82,98,17.27,overcast clouds
275,Nawabshah,PK,26.2483,68.4096,66.16,72,0,4.61,smoke
